CVE_ID,CVSS_Score_Scaled,Severity_CRITICAL,Severity_HIGH,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN,Attack_Vector_ADJACENT_NETWORK,Attack_Vector_LOCAL,Attack_Vector_NETWORK,Attack_Vector_PHYSICAL,Attack_Vector_UNKNOWN,CVSS_Risk_Bin
CVE-2018-17179,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2018-17180,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2018-17181,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2019-14529,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2019-14530,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2019-3964,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-3965,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-3966,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-3968,1.2589200005314953,False,True,False,False,False,False,False,True,False,False,CRITICAL
CVE-2019-8371,0.3325891294137741,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2019-8368,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-17197,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2019-16862,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-17409,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-16404,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2018-16795,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-19364,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-13569,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-13565,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2020-29142,0.3325891294137741,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-29139,0.3325891294137741,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-29140,0.3325891294137741,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-29143,0.3325891294137741,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2021-25917,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-25918,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-25919,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-25920,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-25921,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-25922,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-32102,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2021-32103,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-32104,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2021-25923,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2021-40352,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2021-41843,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-25471,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-25041,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-1178,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-1179,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-1180,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2022-1181,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-1458,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-1461,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2493,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-2494,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2729,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2730,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2731,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2732,0.8986802173190486,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-2733,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2734,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-2824,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-4502,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-4503,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-4504,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-4505,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-4506,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-4567,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2022-4615,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2022-4733,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-22972,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-22973,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-22974,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-2566,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2674,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2942,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-2943,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-2944,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2945,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2946,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-2947,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2948,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2949,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-2950,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-37734,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2024-0875,-0.9025186987431879,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2024-22611,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2013-10044,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2021-47817,-0.5937417417039471,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2014-3861,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2014-3862,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2014-5452,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
